place,id,act,text,prompt,name,desc,notes
bedroom,books,,,<style=prompt><b>[F]</b> Look at book</style>,,,just the general prompt
,,,,,,,
,,,,,,,
bedroom,book1,1,,,"<style=prompt><align=center>All You Zombies
<size=70%><i>Robert Heinlein</i></size>
</align></style>","<style=prompt><i>It's a book about zombies. <color=red>Scary, haunted eyes.</i></color> Maybe. It's got almost all of it scribbled on with black marker.</style>",
bedroom,book2,1,,,"<style=prompt><align=center>Insectopedia
<size=70%><i>Hugh Raffles</i></size></align></style>","<style=prompt>""Perhaps the most dramatic example of parasitic brain control is the fungus Ophiocordyceps, which turns ants into ""zombies"" to ensure its own survival. A fungal spore lands on an ant, germinating and growing throughout its body, using the ant's own muscles to turn it into a puppet. As the infection reaches the brain, the fungus causes the ant to abandon its colony, climb to a specific height on a plant, and bite down on a leaf with a ""fatal grip"". Once in this optimal, humid position for fungal growth, the parasite kills the host and grows a spore-releasing stalk out of the ant's head to infect others.""</style>",
bedroom,book3,1,,,"<style=prompt><align=center>Stocks
<size=70%><i>Stiff Peaks</i></size></align></style>",<style=prompt><i>It's boring. It's one of Mom's books - it looks like it's the same color and has the same art on the cover.</i></style>,
bedroom,book4,1,,,"<style=prompt><align=center>The Blind Owl
<size=70%><i>Sadegh Hedayat</i></size></align></style>","<style=prompt><i>The faces on the cover are scribbled out, even the owl. It's also mostly blacked out with marker. The marker looks purple in the lamp light.</i></color></style>",
bedroom,chess,,,<style=prompt><b>[F]</b> Look at board</style>,<style=prompt><align=center>Chess Board</align></style>,"<style=prompt><i>It's a chess board, or a checkers board. There are no pieces.</i></style>",
bedroom,pencase,1,,<style=prompt><b>[F]</b> Look at pen case</style>,<style=prompt><align=center>Pen Case</align></style>,"<style=prompt><i>It had a pen once. Dad broke it against the wall a a long, long time ago.</i></style>",
bedroom,notebook,,,<style=prompt><b>[F]</b> Look at notebook</style>,<style=prompt><align=center>Notebook</align></style>,<style=prompt><i>The pages are glued together.</i></style>,
bedroom,frame,1,,<style=prompt><b>[F]</b> Look at frame</style>,<style=prompt><align=center>Photo Frame</align></style>,<style=prompt><i>It's an empty photo frame. It wasn't empty before. Why didn't they just scribble over the faces like in the other books?</i></style>,
